"","Name","Position","mddRank","tankRank","espnRank","drafttekRank","pffRank","athleticRank","buzz_rank","jeremiah_rank","Rank_average","Rank_combined"
"1","Caleb Williams","QB",1,1,1,1,1,1,2,1,1.125,1
"2","Marvin Harrison Jr.","WR",3,2,2,2,2,2,1,2,2,2
"3","Malik Nabers","WR",5,3,3,7,4,3,3,4,4,3
"4","Drake Maye","QB",2,8,6,6,3,4,7,5,5.125,4
"5","Joe Alt","OT",8,5,4,4,5,6,4,8,5.5,5
"6","Rome Odunze","WR",6,6,8,8,6,7,10,3,6.75,6
"7","Jayden Daniels","QB",4,4,5,3,21,8,6,6,7.125,7
"8","Brock Bowers","TE / WR",10,7,13,5,7,5,5,7,7.375,8
"9","Dallas Turner","EDGE",9,9,7,9,16,12,14,13,11.125,9
"10","Quinyon Mitchell","CB",11,11,10,13,9,11,16,12,11.625,10