PICK,TEAM,SELECTION,RANK,POSITION,TRADE,COMPENSATION
1,CHI,,,,,
2,WAS,,,,,
3,NE,,,,,
4,ARI,,,,,
5,LAC,,,,,
6,NYJ,,,,,
7,TEN,,,,,
8,ATL,,,,,
9,CHI,,,,,
10,NYJ,,,,,
11,MIN,,,,,
12,DEN,,,,,
13,LV,,,,,
14,NO,,,,,
15,IND,,,,,
16,SEA,,,,,
17,JAC,,,,,
18,CIN,,,,,
19,LAR,,,,,
20,PIT,,,,,
21,MIA,,,,,
22,PHI,,,,,
23,HOU,,,,,
24,DAL,,,,,
25,GB,,,,,
26,TB,,,,,
27,ARI,,,,,
28,BUF,,,,,
29,DET,,,,,
30,BAL,,,,,
31,SF,,,,,
32,KC,,,,,
33,CAR,,,,,
34,NE,,,,,
35,ARI,,,,,
36,WAS,,,,,
37,LAC,,,,,
38,TEN,,,,,
39,NYJ,,,,,
40,WAS,,,,,
41,GB,,,,,
42,MIN,,,,,
43,ATL,,,,,
44,LV,,,,,
45,NO,,,,,
46,IND,,,,,
47,NYJ,,,,,
48,JAC,,,,,
49,CIN,,,,,
50,PHI,,,,,
51,PIT,,,,,
52,LAR,,,,,
53,PHI,,,,,
54,CLE,,,,,
55,MIA,,,,,
56,DAL,,,,,
57,TB,,,,,
58,GB,,,,,
59,HOU,,,,,
60,BUF,,,,,
61,DET,,,,,
62,BAL,,,,,
63,SF,,,,,
64,KC,,,,,
65,CAR,,,,,
66,ARI,,,,,
67,WAS,,,,,
68,NE,,,,,
69,LAC,,,,,
70,NYJ,,,,,
71,ARI,,,,,
72,NYJ,,,,,
73,DET,,,,,
74,ATL,,,,,
75,CHI,,,,,
76,DEN,,,,,
77,LV,,,,,
78,SEA,,,,,
79,ATL,,,,,
80,CIN,,,,,
81,SEA,,,,,
82,IND,,,,,
83,LAR,,,,,
84,PIT,,,,,
85,CLE,,,,,
86,HOU,,,,,
87,DAL,,,,,
88,GB,,,,,
89,TB,forfeited,,,,
90,ARI,,,,,
91,GB,,,,,
92,DET,,,,,
93,BAL,,,,,
94,SF,,,,,
95,KC,,,,,
96,JAC,,,,,
97,PHI,,,,,
98,SF,,,,,
99,BUF,,,,,
100,WAS,,,,,
101,CAR,,,,,
102,WAS,,,,,
103,NE,,,,,
104,ARI,,,,,
105,LAC,,,,,
106,TEN,,,,,
107,NYJ,,,,,
108,MIN,,,,,
109,ATL,,,,,
110,CHI,,,,,
111,NYJ,,,,,
112,LV,,,,,
113,NYJ,,,,,
114,JAC,,,,,
115,CIN,,,,,
116,JAC,,,,,
117,IND,,,,,
118,SEA,,,,,
119,PIT,,,,,
120,PIT,,,,,
121,DEN,,,,,
122,CHI,,,,,
123,HOU,,,,,
124,SF,,,,,
125,TB,,,,,
126,GB,,,,,
127,HOU,,,,,
128,BUF,,,,,
129,MIN,,,,,
130,BAL,,,,,
131,SF,,,,,
132,KC,,,,,
133,BAL,,,,,
134,CLE,,,,,
135,NE,,,,,
136,ARI,,,,,
137,WAS,,,,,
138,LAC,,,,,
139,NYJ,,,,,
140,CAR,,,,,
141,ATL,,,,,
142,CHI,,,,,
143,DEN,,,,,
144,TEN,,,,,
145,DEN,,,,,
146,LV,,,,,
147,CIN,,,,,
148,NO,,,,,
149,IND,,,,,
150,SEA,,,,,
151,JAC,,,,,
152,LAR,,,,,
153,LAR,,,,,
154,CLE,,,,,
155,MIN,,,,,
156,MIA,,,,,
157,KC,,,,,
158,BUF,,,,,
159,PHI,,,,,
160,ARI,,,,,
161,BUF,,,,,
162,DET,,,,,
163,BAL,,,,,
164,CAR,,,,,
165,MIN,,,,,
166,NO,,,,,
167,GB,,,,,
168,NO,,,,,
169,PHI,,,,,
170,PHI,,,,,
171,KC,,,,,
172,DAL,,,,,
173,NO,,,,,
174,CIN,,,,,
175,SF,,,,,
176,LAR,,,,,
177,PHI,,,,,
178,MIN,,,,,
179,CAR,,,,,
180,WAS,,,,,
181,NE,,,,,
182,LAC,,,,,
183,TEN,,,,,
184,NYJ,,,,,
185,MIA,,,,,
186,NYJ,,,,,
187,ARI,,,,,
188,PHI,,,,,
189,MIN,,,,,
190,LAR,,,,,
191,NO,,,,,
192,IND,,,,,
193,SEA,,,,,
194,JAC,,,,,
195,CIN,,,,,
196,PIT,,,,,
197,BUF,,,,,
198,ATL,,,,,
199,MIA,,,,,
200,NO,,,,,
201,BUF,,,,,
202,TB,,,,,
203,GB,,,,,
204,CLE,,,,,
205,BUF,,,,,
206,DET,,,,,
207,CLE,,,,,
208,SF,,,,,
209,LV,,,,,
210,JAC,,,,,
211,LAR,,,,,
212,DAL,,,,,
213,SF,,,,,
214,SF,,,,,
215,GB,,,,,
216,LAR,,,,,
217,LAR,,,,,
218,TEN,,,,,
219,WAS,,,,,
220,LV,,,,,
221,ARI,,,,,
222,LAC,,,,,
223,ARI,,,,,
224,LV,,,,,
225,BAL,,,,,
226,LV,,,,,
227,CLE,,,,,
228,NE,,,,,
229,NO,,,,,
230,DAL,,,,,
231,IND,,,,,
232,SEA,,,,,
233,JAC,,,,,
234,CIN,,,,,
235,HOU,,,,,
236,DEN,,,,,
237,PIT,,,,,
238,MIA,,,,,
239,TEN,,,,,
240,ARI,,,,,
241,DAL,,,,,
242,GB,,,,,
243,TB,,,,,
244,HOU,,,,,
245,BUF,,,,,
246,DET,,,,,
247,BAL,,,,,
248,SF,,,,,
249,HOU,,,,,
250,GB,,,,,
251,CIN,,,,,
252,NYJ,,,,,
253,NYJ,,,,,
254,TB,,,,,
255,LAC,,,,,
256,NYJ,,,,,
257,JAC,,,,,